Time (s) Run #1,Geiger Counts (counts/sample) Run #1,Geiger Counts (counts/sample) Run #2,Geiger Counts (counts/sample) Run #3
171,4,7,6
171.2,3,3,2
171.4,3,6,4
171.6,4,6,1
171.8,2,2,5
172,1,4,3
172.2,1,3,7
172.4,4,1,4
172.6,2,3,3
172.8,2,4,2
173,5,3,6
173.2,3,4,2
173.4,2,1,0
173.6,1,5,4
173.8,1,1,4
174,1,1,5
174.2,4,6,2
174.4,6,3,2
174.6,3,1,2
174.8,5,1,2
175,1,2,5
175.2,1,2,2
175.4,2,4,5
175.6,3,5,5
175.8,3,6,2
176,4,7,4
176.2,3,6,4
176.4,3,1,6
176.6,4,2,1
176.8,6,3,10
177,4,4,4
177.2,3,6,2
177.4,2,3,3
177.6,3,1,1
177.8,7,1,4
178,6,1,4
178.2,4,5,6
178.4,4,1,2
178.6,3,3,2
178.8,2,1,3
179,6,4,4
179.2,5,4,4
179.4,6,6,4
179.6,2,4,7
179.8,2,1,1
180,4,2,5
180.2,4,7,4
180.4,3,5,4
180.6,4,3,4
180.8,3,1,1
181,2,3,2
181.2,6,1,3
181.4,2,5,3
181.6,4,3,4
181.8,3,4,2
182,1,4,8
182.2,2,3,1
182.4,2,5,5
182.6,1,6,3
182.8,3,3,4
183,3,3,2
183.2,2,1,8
183.4,1,5,2
183.6,5,3,4
183.8,3,6,0
184,4,2,0
184.2,2,5,3
184.4,1,4,2
184.6,3,3,3
184.8,2,3,5
185,5,3,5
185.2,3,2,3
185.4,5,3,3
185.6,0,3,4
185.8,3,3,2
186,3,0,3
186.2,4,3,4
186.4,4,5,2
186.6,6,2,9
186.8,4,2,4
187,5,2,4
187.2,5,7,3
187.4,3,5,2
187.6,7,3,2
187.8,3,3,3
188,2,2,6
188.2,5,7,7
188.4,0,3,1
188.6,2,2,1
188.8,5,4,4
189,2,4,0
189.2,3,1,3
189.4,4,4,6
189.6,2,3,2
189.8,2,3,2
190,3,6,3
190.2,2,4,1
190.4,0,4,4
190.6,7,2,3
190.8,4,2,6
191,3,2,3
191.2,6,2,2
191.4,4,5,3
191.6,2,2,4
191.8,2,1,3
192,6,0,2
192.2,3,4,1
192.4,1,5,1
192.6,5,4,2
192.8,2,5,3
193,2,6,6
193.2,3,2,6
193.4,3,1,3
193.6,3,3,3
193.8,3,4,6
194,4,6,2
194.2,4,4,5
194.4,3,5,3
194.6,2,1,2
194.8,0,3,5
195,1,3,4
195.2,3,6,2
195.4,3,1,7
