Time (s) Run #7,Geiger Counts (counts/sample) Run #7,Geiger Counts (counts/sample) Run #8,Geiger Counts (counts/sample) Run #9,Geiger Counts (counts/sample) Run #10,Geiger Counts (counts/sample) Run #11,Geiger Counts (counts/sample) Run #12,Geiger Counts (counts/sample) Run #13,Geiger Counts (counts/sample) Run #14,Geiger Counts (counts/sample) Run #15,Geiger Counts (counts/sample) Run #16,Geiger Counts (counts/sample) Run #17,Geiger Counts (counts/sample) Run #18,Geiger Counts (counts/sample) Run #19,Geiger Counts (counts/sample) Run #20,Geiger Counts (counts/sample) Run #21,Geiger Counts (counts/sample) Run #22,Geiger Counts (counts/sample) Run #23,Geiger Counts (counts/sample) Run #24,Geiger Counts (counts/sample) Run #25,Geiger Counts (counts/sample) Run #26
23,2,1,2,4,1,1,1,0,4,1,1,1,2,1,2,0,2,3,0,2
23.1,0,0,1,1,0,2,2,2,0,2,0,1,1,0,1,0,1,0,2,0
23.2,2,2,2,7,0,1,0,4,1,4,1,1,0,2,3,3,1,1,1,2
23.3,3,1,2,0,2,3,4,2,1,2,1,1,1,1,0,1,2,3,0,0
23.4,0,2,3,1,1,1,2,0,2,3,2,2,2,3,1,1,2,2,1,0
23.5,1,0,2,1,3,1,1,0,4,0,1,1,1,2,0,1,2,0,1,1
23.6,1,3,2,1,1,1,2,1,3,0,1,1,2,3,1,1,0,1,2,0
23.7,1,1,2,2,1,2,3,3,2,0,1,0,0,0,3,1,2,0,1,2
23.8,1,2,3,1,3,2,1,3,0,1,0,3,0,2,5,2,2,1,5,3
23.9,3,0,1,1,2,0,4,1,0,1,1,2,0,1,1,1,3,3,0,3
24,4,0,2,3,2,0,0,0,0,4,3,2,1,1,3,1,2,0,2,0
24.1,1,0,4,5,0,2,2,3,0,0,0,4,2,3,1,1,2,3,1,3
24.2,1,1,1,1,0,1,2,1,2,0,2,1,1,1,2,0,3,0,1,3
24.3,1,1,2,4,0,2,4,2,1,0,3,3,3,1,4,1,3,0,2,0
24.4,2,1,3,2,0,2,3,2,1,2,3,0,2,2,2,0,1,2,2,0
24.5,1,2,3,0,1,2,4,1,0,3,2,3,3,6,2,0,2,3,1,1
24.6,3,1,1,0,2,1,2,0,1,1,2,1,0,1,1,4,2,1,2,3
24.7,1,1,1,0,3,3,2,2,0,1,1,3,4,4,1,1,0,2,1,1
24.8,1,1,0,0,0,0,1,1,3,3,0,2,1,0,2,5,2,2,3,1
24.9,1,0,2,3,2,0,3,0,3,1,2,1,0,3,1,1,1,1,1,2
25,0,3,2,2,1,5,0,0,3,1,2,0,2,1,2,0,0,1,1,1
25.1,2,2,0,1,2,1,2,1,1,1,1,0,1,2,2,1,2,5,2,2
25.2,2,0,2,1,1,2,1,1,2,3,3,1,2,0,1,0,2,2,2,1
25.3,2,0,2,2,1,0,3,0,2,1,1,2,6,0,2,1,0,2,2,1
25.4,1,1,1,3,2,0,4,1,3,4,3,2,1,2,1,0,1,3,0,6
25.5,1,0,1,2,2,0,0,3,1,5,5,1,0,2,1,1,1,0,1,0
25.6,1,2,2,0,4,0,2,1,1,3,3,0,0,0,1,2,0,0,3,0
25.7,4,3,1,3,4,3,1,0,1,1,2,3,2,2,5,1,0,0,1,3
25.8,1,0,1,1,0,2,1,3,2,3,6,4,0,1,7,0,1,3,3,0
25.9,1,1,1,2,3,0,1,0,2,0,2,3,1,2,1,4,1,2,4,2
26,1,2,2,3,2,0,0,3,1,1,4,1,2,1,0,2,2,2,0,2
26.1,1,0,3,1,2,0,1,1,2,1,0,1,2,1,2,0,0,0,0,1
26.2,0,1,0,3,1,2,1,0,4,1,2,0,2,1,1,2,3,0,1,1
26.3,1,4,2,0,4,1,2,1,2,1,2,1,1,1,2,0,2,0,0,2
26.4,2,0,1,3,3,3,3,3,2,0,2,2,3,1,1,1,3,0,0,2
26.5,5,2,0,1,1,0,1,2,3,1,1,0,1,2,1,2,2,4,0,1
26.6,3,2,0,2,0,0,1,5,1,0,3,2,0,3,0,1,2,3,3,3
26.7,2,1,1,2,1,0,1,3,2,2,3,1,0,0,4,5,2,0,1,2
26.8,3,1,2,3,1,0,2,0,0,1,2,5,2,2,1,3,1,2,1,0
26.9,4,1,1,1,1,3,2,1,2,2,1,1,5,1,1,2,0,0,1,2
27,1,1,4,0,2,1,0,1,1,3,0,4,1,1,1,0,1,1,3,2
27.1,0,0,2,2,3,2,3,1,2,0,1,3,2,3,3,2,2,1,1,1
27.2,1,1,4,2,1,3,1,2,1,2,0,0,3,0,0,1,3,3,0,3
27.3,2,1,1,1,0,2,0,2,2,3,2,3,5,1,1,0,3,1,2,2
27.4,1,1,1,0,4,2,0,3,2,2,0,2,1,3,1,2,1,2,0,1
27.5,2,0,0,2,2,2,0,0,2,0,1,3,2,4,1,3,0,2,0,2
