Time,Run 1
234.8,5
235,5
235.2,1
235.4,2
235.6,4
235.8,1
236,1
236.2,2
236.4,0
236.6,0
236.8,1
237,2
237.2,2
237.4,0
237.6,2
237.8,3
238,0
238.2,3
238.4,2
238.6,2
238.8,1
239,1
239.2,2
239.4,4
239.6,2
239.8,1
240,3
240.2,1
240.4,3
240.6,0
240.8,4
241,3
241.2,4
241.4,2
241.6,1
241.8,2
242,0
242.2,1
242.4,5
242.6,0
242.8,2
243,2
243.2,4
243.4,1
243.6,1
243.8,2
244,3
244.2,3
244.4,0
244.6,2
244.8,3
245,1
245.2,7
245.4,4
245.6,1
245.8,1
246,1
246.2,3
246.4,3
246.6,1
246.8,1
247,2
247.2,1
247.4,2
247.6,0
247.8,1
248,0
248.2,1
248.4,2
248.6,2
248.8,1
249,3
249.2,0
249.4,2
249.6,3
249.8,2
250,1
250.2,0
250.4,2
250.6,5
250.8,1
251,2
251.2,4
251.4,1
251.6,3
251.8,3
252,3
252.2,2
252.4,2
252.6,2
252.8,0
253,3
253.2,1
253.4,2
253.6,4
253.8,2
254,2
254.2,3
254.4,0
254.6,0
254.8,2
255,1
255.2,5
255.4,3
255.6,0
255.8,3
256,2
256.2,4
256.4,2
256.6,2
256.8,3
257,1
257.2,2
257.4,2
257.6,3
257.8,2
258,5
258.2,2
258.4,3
258.6,2
258.8,1
259,1
259.2,1
259.4,3
259.6,2
259.8,1
260,1
260.2,2
260.4,1
260.6,2
260.8,1
261,2
261.2,0
261.4,0
261.6,2
261.8,1
262,2
262.2,2
262.4,3
262.6,3
262.8,1
263,1
263.2,3
263.4,2
263.6,1
263.8,1
264,0
264.2,0
264.4,3
264.6,1
264.8,2
265,1
265.2,2
265.4,1
265.6,0
265.8,2
266,5
266.2,2
266.4,2
266.6,0
266.8,3
267,0
267.2,0
267.4,0
267.6,2
267.8,2
268,3
268.2,2
268.4,1
268.6,1
268.8,3
269,4
269.2,3
269.4,0
269.6,3
269.8,0
270,4
270.2,2
270.4,2
270.6,1
270.8,1
271,3
271.2,2
271.4,5
271.6,4
271.8,3
272,2
272.2,3
272.4,2
272.6,1
272.8,0
273,0
273.2,1
273.4,0
273.6,1
273.8,4
274,3
274.2,2
274.4,1
274.6,1
274.8,1
275,0
275.2,3
275.4,0
275.6,2
275.8,1
276,1
276.2,1
276.4,1
276.6,5
276.8,3
277,0
277.2,4
277.4,0
277.6,2
277.8,4
278,2
278.2,2
278.4,1
278.6,2
278.8,3
279,0
279.2,2
279.4,3
279.6,0
279.8,2
280,2
280.2,1
280.4,3
280.6,1
280.8,1
281,3
281.2,2
281.4,3
281.6,1
281.8,0
282,2
282.2,2
282.4,0
282.6,2
282.8,1
283,1
283.2,1
283.4,2
283.6,3
283.8,2
284,0
284.2,2
284.4,2
284.6,1
284.8,2
285,1
285.2,2
285.4,0
285.6,1
285.8,5
286,2
286.2,1
286.4,3
286.6,2
286.8,4
287,3
287.2,2
287.4,3
287.6,2
287.8,1
288,1
288.2,1
288.4,2
288.6,5
288.8,0
289,1
289.2,0
289.4,2
289.6,6
289.8,0
290,0
290.2,2
290.4,3
290.6,1
290.8,0
291,3
291.2,4
291.4,3
291.6,1
291.8,4
292,6
292.2,3
292.4,0
292.6,1
292.8,5
293,4
293.2,4
293.4,5
293.6,1
293.8,2
294,2
294.2,4
294.4,2
294.6,2
294.8,2
295,1
295.2,3
295.4,2
295.6,2
295.8,5
296,4
296.2,2
296.4,4
296.6,0
296.8,2
297,6
297.2,1
297.4,1
297.6,1
297.8,3
298,2
298.2,4
298.4,5
298.6,2
298.8,1
299,4
299.2,5
299.4,1
299.6,2
299.8,1
300,0
300.2,2
300.4,4
300.6,4
300.8,3
301,1
301.2,2
301.4,3
301.6,4
301.8,4
302,0
302.2,0
302.4,2
302.6,2
302.8,2
303,4
303.2,2
303.4,3
303.6,2
303.8,1
304,1
304.2,2
304.4,0
304.6,3
304.8,1
305,1
305.2,1
305.4,2
305.6,2
305.8,3
306,5
306.2,0
306.4,4
306.6,2
306.8,1
307,1
307.2,1
307.4,1
307.6,3
307.8,0
308,0
308.2,1
308.4,1
308.6,2
308.8,2
309,2
309.2,1
309.4,0
309.6,3
309.8,1
310,3
310.2,2
310.4,1
310.6,2
310.8,3
311,3
311.2,5
311.4,1
311.6,2
311.8,0
312,1
312.2,0
312.4,3
312.6,2
312.8,2
313,6
313.2,1
313.4,2
313.6,2
313.8,5
314,2
314.2,2
314.4,2
314.6,0
314.8,0
315,2
315.2,0
315.4,4
315.6,2
315.8,1
316,2
316.2,1
316.4,2
316.6,2
316.8,1
317,1
317.2,2
317.4,0
317.6,1
317.8,2
318,0
318.2,1
318.4,1
318.6,3
318.8,1
319,4
319.2,3
319.4,4
319.6,3
319.8,3
320,1
320.2,2
320.4,0
320.6,1
320.8,3
321,1
321.2,0
321.4,2
321.6,2
321.8,2
322,2
322.2,0
322.4,2
322.6,0
322.8,1
323,3
323.2,3
323.4,0
323.6,1
323.8,1
324,3
324.2,1
324.4,3
324.6,1
324.8,3
325,2
325.2,3
325.4,0
325.6,3
325.8,2
326,1
326.2,1
326.4,5
326.6,5
326.8,0
327,2
327.2,2
327.4,3
327.6,1
327.8,0
328,2
328.2,2
328.4,1
328.6,2
328.8,3
329,3
329.2,4
329.4,1
329.6,2
329.8,3
330,3
330.2,2
330.4,4
330.6,4
330.8,2
331,3
331.2,4
331.4,1
331.6,1
331.8,0
332,0
332.2,2
332.4,3
332.6,3
332.8,0
333,0
333.2,1
333.4,1
333.6,8
333.8,2
334,2
334.2,1
334.4,0
334.6,2
334.8,2
335,1
335.2,0
335.4,2
335.6,3
335.8,2
336,2
336.2,3
336.4,4
336.6,1
336.8,1
337,1
337.2,1
337.4,2
337.6,0
337.8,6
338,2
338.2,2
338.4,1
338.6,2
338.8,2
339,3
339.2,1
339.4,5
339.6,2
339.8,1
340,4
340.2,4
340.4,0
340.6,3
340.8,1
341,3
341.2,0
341.4,1
341.6,1
341.8,1
342,2
342.2,2
342.4,1
342.6,2
342.8,2
343,2
343.2,1
343.4,0
343.6,1
343.8,2
344,0
344.2,0
344.4,1
344.6,2
344.8,3
345,3
345.2,2
345.4,6
345.6,1
345.8,3
346,4
346.2,3
346.4,1
346.6,3
346.8,1
347,1
347.2,4
347.4,3
347.6,3
347.8,1
348,2
348.2,0
348.4,2
348.6,2
348.8,2
349,2
349.2,3
349.4,2
349.6,2
349.8,2
350,1
350.2,2
350.4,1
350.6,3
350.8,1
351,0
351.2,3
351.4,1
351.6,2
351.8,1
352,2
352.2,0
352.4,0
352.6,2
352.8,0
353,1
353.2,5
353.4,2
353.6,1
353.8,1
354,2
354.2,1
354.4,1
354.6,1
354.8,1
355,1
355.2,2
355.4,2
355.6,1
355.8,3
356,1
356.2,2
356.4,3
356.6,3
356.8,4
357,2
357.2,2
357.4,1
357.6,2
357.8,1
358,0
358.2,2
358.4,3
358.6,1
358.8,2
359,2
359.2,1
359.4,2
359.6,2
359.8,6
360,6
360.2,1
360.4,1
360.6,2
360.8,0
361,1
361.2,2
361.4,2
361.6,3
361.8,1
362,4
362.2,3
362.4,2
362.6,7
362.8,0
363,0
363.2,0
363.4,3
363.6,2
363.8,1
364,0
364.2,4
364.4,0
364.6,4
364.8,4
365,1
365.2,3
365.4,0
365.6,0
365.8,1
366,2
366.2,4
366.4,0
366.6,1
366.8,2
367,2
367.2,0
367.4,2
367.6,2
367.8,1
368,0
368.2,2
368.4,1
368.6,2
368.8,0
369,3
369.2,0
369.4,1
369.6,0
369.8,2
370,0
370.2,3
370.4,4
370.6,2
370.8,2
371,1
371.2,0
371.4,1
371.6,0
371.8,3
372,3
372.2,1
372.4,0
372.6,0
372.8,2
373,1
373.2,0
373.4,3
373.6,1
373.8,2
374,4
374.2,2
374.4,1
374.6,2
374.8,2
375,4
375.2,2
375.4,2
375.6,1
375.8,3
376,4
376.2,2
376.4,1
376.6,0
376.8,2
377,2
377.2,4
377.4,5
377.6,4
377.8,3
378,2
378.2,0
378.4,2
378.6,3
378.8,3
379,2
379.2,1
379.4,2
379.6,3
379.8,4
380,3
380.2,0
380.4,6
380.6,2
380.8,3
381,1
381.2,1
381.4,2
381.6,2
381.8,2
382,1
382.2,4
382.4,2
382.6,1
382.8,3
383,1
383.2,1
383.4,0
383.6,0
383.8,4
384,3
384.2,2
384.4,1
384.6,3
384.8,3
385,3
385.2,1
385.4,0
385.6,4
385.8,2
386,4
386.2,1
386.4,1
386.6,3
386.8,4
387,3
387.2,1
387.4,2
387.6,1
387.8,3
388,3
388.2,1
388.4,2
388.6,1
388.8,5
389,2
389.2,2
389.4,3
389.6,2
389.8,0
390,1
390.2,3
390.4,3
390.6,2
390.8,2
391,1
391.2,0
391.4,2
391.6,0
391.8,3
392,6
392.2,4
392.4,3
392.6,6
392.8,2
393,3
393.2,3
393.4,0
393.6,2
393.8,2
394,1
394.2,1
394.4,2
394.6,5
394.8,1
395,0
395.2,3
395.4,2
395.6,1
395.8,1
396,1
396.2,1
396.4,2
396.6,2
396.8,2
397,0
397.2,2
397.4,5
397.6,2
397.8,4
398,0
398.2,0
398.4,3
398.6,3
398.8,3
399,2
399.2,3
399.4,0
399.6,2
399.8,0
400,3
400.2,7
400.4,0
400.6,1
400.8,2
401,4
401.2,3
401.4,1
401.6,2
401.8,4
402,2
402.2,0
402.4,3
402.6,3
402.8,1
403,0
403.2,0
403.4,0
403.6,1
403.8,3
404,1
404.2,1
404.4,0
404.6,5
404.8,4
405,2
405.2,2
405.4,2
405.6,2
